id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1634,8559,"alga, fish","",651.856418809929,169.444,mg/L,"ECHA, OASIS, Literature set"
1635,1512,fish,"",0.0103,"",mg/L,"ECOTOX, OASIS"
1636,8560,alga,"","",6.24,mg/L,ECHA
1637,8561,"alga, daphnia",17.4,"",8.9,mg/L,ECHA
1638,8562,"daphnia, fish",5.9,4.2,"",mg/L,"ECHA, ECOTOX"
1639,8563,fish,"",0.28,"",mg/L,"ECOTOX, ECHA"
1640,8564,"daphnia, fish",5.7,4.695,"",mg/L,ECHA
1641,6228,fish,"",61.35,"",mg/L,ECOTOX
1642,8565,"alga, daphnia",61.0,"",55.0,mg/L,ECHA
1643,8566,"alga, daphnia, fish",45.0,7.1,86.0,mg/L,ECHA
1644,1535,"daphnia, fish",52.0,4.2,"",mg/L,ECHA
1645,4850,daphnia,52.0,"","",mg/L,ECHA
1646,8567,"alga, fish","",2.0,5.28,mg/L,"ECHA, NITE, VEGA, Literature set"
1647,1517,"daphnia, fish",53.0,17.988,"",mg/L,"ECHA, Literature set"
1648,1519,"alga, daphnia, fish",12.1,3.21,7.6,mg/L,ECHA
1649,4492,"daphnia, fish",36.0,7.89,"",mg/L,"ECHA, OASIS"
1650,8568,daphnia,27.2,"","",mg/L,ECHA
1651,1536,"alga, daphnia, fish",190.0,15.4,700.0,mg/L,"NITE, Literature set"
1652,1537,fish,"",298.138,"",mg/L,"Literature set"
1653,8569,"alga, fish","",8.45,124.0,mg/L,ECHA
1654,8570,daphnia,2.3,"","",mg/L,ECHA
1655,8571,daphnia,276.0,"","",mg/L,ECHA
1656,8572,fish,"",35.028,"",mg/L,"Literature set"
1657,1539,daphnia,0.01208,"","",mg/L,ECOTOX
1658,1540,daphnia,0.00188,"","",mg/L,ECOTOX
1659,1541,"alga, daphnia",0.00072,"",24.0,mg/L,"VEGA, Literature set"
1660,8573,"daphnia, fish",34.2,9.79,"",mg/L,"ECHA, ECHA(10)"
1661,1546,fish,"",138.283974012325,"",mg/L,"Literature set"
1662,8574,fish,"",18.0100826002031,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1663,1550,fish,"",2.70948789230555,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1664,8575,daphnia,0.01,"","",mg/L,"Literature set"
1665,8576,"alga, daphnia, fish",4.01,1.73,8.28,mg/L,ECHA
1666,1552,fish,"",3.175,"",mg/L,ECOTOX
1667,8577,"alga, fish","",5.7,76.0,mg/L,ECHA
1668,8578,fish,"",3.1,"",mg/L,ECOTOX
1669,8579,fish,"",0.635,"",mg/L,ECOTOX
1670,7244,fish,"",2.68,"",mg/L,ECOTOX
1671,1544,"alga, fish","",8.18,44.8,mg/L,ECHA
1672,8580,fish,"",13.3,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
1673,8581,"alga, daphnia",84.58,"",65.14,mg/L,ECHA
1674,8582,"alga, daphnia",16.75,"",7.49,mg/L,ECHA
1675,8583,fish,"",1.4,"",mg/L,"NITE, Literature set"
1676,8584,alga,"","",40.0,mg/L,"Literature set"
1677,4568,"daphnia, fish",0.165,1.73,"",mg/L,"VEGA, Literature set"
1678,8585,alga,"","",59.0,mg/L,ECHA
1679,1561,fish,"",3.85,"",mg/L,ECOTOX
1680,8586,fish,"",2.37,"",mg/L,ECOTOX
1681,8587,fish,"",3.86,"",mg/L,ECHA
1682,4125,"alga, fish","",35.4,67.0,mg/L,"VEGA, Literature set"
1683,8588,"alga, daphnia",5.2,"",2.4,mg/L,ECHA
